SMILES,Cluster,UMAP_1,UMAP_2,Shown_in_y_positive_region
B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,1,-2.1848676,5.5804887,True
B(OCCC#N)(OCCC#N)OCCC#N,1,-2.7402523,5.5079117,True
COB1OB(OC)OB(OC)O1,6,-1.7696776,5.3656144,True
FC1=C(F)C(F)=C(F)C(B(OC2=O)OC2=O)=C1F,2,-3.676576,8.275573,True
CCC1O[B-](OC2=O)(OC2=O)OC(C)C1.[Li+],2,-4.193803,9.249341,True
Fc1cccc2c1OB(c3cc(C(F)(F)F)ccc3C(F)(F)F)O2,2,-3.3440793,9.293831,True
CC1(COB(OC1)B1OCC(CO1)(C)C)C,2,1.422362,16.845467,True
FC(C1=CC=NC=C1)(F)F.FB(F)F,2,-1.6533269,8.744948,True
C1(C2=C(O[B-]34OC5=C(C6=C(O3)C=CC=C6)C=CC=C5)C=CC=C2)=C(O4)C=CC=C1.[Li+],2,-4.138793,9.245085,True
B1(OB(OB(O1)C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,2,0.8895855,16.555891,True
C(C)(C)OB1OC(C(O1)(C)C)(C)C,6,-1.2489638,5.6104035,True
[Li+].[O-]B=O,3,-0.9958639,4.118945,True
[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,2,0.5010409,17.043472,True
FC(C(C(F)(F)F)OB(OC(C(F)(F)F)C(F)(F)F)c1ccccc1)(F)F,1,-2.486899,7.762845,True
CC1(COB(OC1)C1=C(C#N)C=CC=C1OC)C,2,1.334031,16.872131,True
Fc1cccc2c1OB(c3ccc(F)cc3F)O2,2,-3.3793523,9.379949,True
CC(C)OB1OB(OC(C)C)OB(OC(C)C)O1,6,-1.8098153,5.4302645,True
B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F ,1,-2.5566854,5.816784,True
O=C(O1)C2=CC=CC=C2O[B-]13OC4=CC=CC=C4C(O3)=O.[Li+],2,-4.1698446,9.251004,True
F[B-](F)(F)OCC1OCCOCCOCCOCCOC1,1,-1.6830873,6.0769567,True
F[B-](F)(OCCOCCOCCOCCOCCOC)F.[Li+],1,-2.3783782,5.5402575,True
[Li+].[Li+].B(=O)OB([O-])OB([O-])OB=O,3,-1.3004833,4.328227,True
COCCB(CCOC)CCOC,1,-2.6536677,5.260792,True
FC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(F)=C3O2)=O)C)=O)=CC=C1.[Li+],2,-4.143207,9.2726555,True
FB(F)F.CN1CCN(C)C1,1,-1.3977504,6.5436864,True
FC(C(C(F)(F)F)OB(OC(C(F)(F)F)C(F)(F)F)c1ccccc1)(F)F.[F],1,-2.524493,7.5947423,True
C=C(C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOB(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)=O)C,1,-2.6445844,5.5087996,True
CCCOB1OB(OCCC)OB(OCCC)O1,6,-2.1028433,5.5599,True
C12=CC=CC=C1C=C(O[B-]3(OC4=CC5=CC=CC=C5C=C4O3)O6)C6=C2.[Li+],2,-4.120754,9.241301,True
C=C(C(OCCOCCOCCOCCOCCOCCOB(OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)=O)C,1,-2.674976,5.4895697,True
B1(OC(=O)CN(CC(=O)O1)C)C  ,6,1.427958,16.484285,True
Fc1cc(B(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)cc(F)c1,1,-2.5668712,7.2683434,True
CC1(COB(OC1)C1=CC=CC=C1)C,2,1.290406,16.780712,True
F[B-](F)(F)[N+]1=CC=[N+]([B-](F)(F)F)C=C1,5,-1.480379,5.8203616,True
O=C(O[B-]12OC3=C(Cl)C=C(Cl)C=C3C(O2)=O)C4=C(O1)C(Cl)=CC(Cl)=C4.[Li+],2,-4.192413,9.245851,True
B(O)(O)O,3,-1.6840174,3.5376186,True
[Li+].[B-]1(OC(=O)C(=O)O1)(F)F,2,-4.22732,9.222457,True
O=C(OB(OC1=O)OC1=O)C(CC)CC(C)C(O)=O.[Li+],6,-2.8503008,4.6614213,True
FC(C=1C=C(C=CC1)B(O)O)(F)F,2,0.5701839,11.050581,True
O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOB1OC(C)(CCC(C)(O1)C)C)C(C)=O,1,-1.0549353,5.695549,True
C=CCCC(O[B-](OC(CCC=C)=O)(OC(CCC=C)=O)OC(CCC=C)=O)=O.[Li+],1,-2.6742544,4.6847754,True
[Li+].B([O-])([O-])[O-]  ,3,-3.6173675,3.33273,True
FC(C1(C(F)(F)F)O[B-]2(OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2)OC1(C(F)(F)F)C(F)(F)F)(F)F.[Li+],2,0.84120494,16.431133,True
F[B-](F)(F)[O+]1CCCC1,5,-1.5515543,5.7483087,True
[B]=O,4,-1.7562677,4.0706325,True
B(OC1=C(C(=C(C(=C1F)F)F)F)F)(OC2=C(C(=C(C(=C2F)F)F)F)F)OC3=C(C(=C(C(=C3F)F)F)F)F,2,-3.6803923,8.142904,True
