cutoff_year,hidden_idx_in_all_data,hidden_name,hidden_year,hidden_cid,hidden_smiles,hidden_smiles_canonical,hit,hit_by_cid,hit_by_raw_smiles,hit_by_canonical_smiles,n_recommended
2017,82,TMSB,2019,,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,C[Si](C)(C)OB(O[Si](C)(C)C)O[Si](C)(C)C,True,False,True,True,1819
2017,85,DiOB-Py,2020,,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,CC1(C)OB(c2ccncc2)OC1(C)C,True,False,False,True,1819
2017,95,B(OPh)3,2023,,B(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,c1ccc(OB(Oc2ccccc2)Oc2ccccc2)cc1,True,False,False,True,1819
2017,107,ITD,2024,,C(C)(C)OB1OC(C(O1)(C)C)(C)C,CC(C)OB1OC(C)(C)C(C)(C)O1,True,False,False,True,1819
2017,113,TBB,2024,,B(OCCCC)(OCCCC)OCCCC,CCCCOB(OCCCC)OCCCC,True,False,True,True,1819
2019,85,DiOB-Py,2020,,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,CC1(C)OB(c2ccncc2)OC1(C)C,True,False,False,True,2279
2019,106,B(HFIP)3,2024,,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,FC(F)(F)C(OB(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F,True,False,True,True,2279
2019,107,ITD,2024,,C(C)(C)OB1OC(C(O1)(C)C)(C)C,CC(C)OB1OC(C)(C)C(C)(C)O1,True,False,False,True,2279
2019,113,TBB,2024,,B(OCCCC)(OCCCC)OCCCC,CCCCOB(OCCCC)OCCCC,True,False,True,True,2279
2019,115,TTFB,2024,,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,FC(F)(F)COB(OCC(F)(F)F)OCC(F)(F)F,True,False,True,True,2279
2021,106,B(HFIP)3,2024,,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,FC(F)(F)C(OB(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F,True,False,True,True,348
2021,113,TBB,2024,,B(OCCCC)(OCCCC)OCCCC,CCCCOB(OCCCC)OCCCC,True,False,True,True,348
2021,115,TTFB,2024,,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,FC(F)(F)COB(OCC(F)(F)F)OCC(F)(F)F,True,False,True,True,348
2023,106,B(HFIP)3,2024,,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,FC(F)(F)C(OB(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F,True,False,True,True,825
2023,107,ITD,2024,,C(C)(C)OB1OC(C(O1)(C)C)(C)C,CC(C)OB1OC(C)(C)C(C)(C)O1,True,False,False,True,825
2023,113,TBB,2024,,B(OCCCC)(OCCCC)OCCCC,CCCCOB(OCCCC)OCCCC,True,False,True,True,825
2023,115,TTFB,2024,,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,FC(F)(F)COB(OCC(F)(F)F)OCC(F)(F)F,True,False,True,True,825
