molecule_id,prototypes,molecule_name
68,1,['Na[B(hfip)4]']
12,4,['SOFPB']
110,6,['LiBF4']
124,5,['2F-PBF']
27,3,['TnPBx']
24,5,['NHCABT']
47,5,['BF3·DE']
109,8,['4FLBDOB']
123,1,['THFPB']
15,9,['(C6H3F)O2B(C6H3F2)']
96,3,['K2B4O5(OH)4']
22,2,['TME']
42,1,['LiFPB']
62,7,['LiBMSB']
115,8,['LiBClSB']
30,6,['ADM']
65,4,['TMSPB']
95,4,['BDB']
9,9,['TPhBX']
33,4,['PRZ']
64,2,['TPB']
25,1,['(C3HF6O)2B(C6F5)']
113,9,['(C6F4)O2B(C6H3F2)']
28,7,['LBNB']
80,2,['B-HEMA']
89,7,['Li[BScB]']
5,9,['(C6H3F)O2B(C8H3F6)']
66,4,['BEG-1']
120,5,['BF₃·DE']
39,2,['B-PEGMA']
49,6,['LiSOB']
35,3,['H3BO3']
16,3,['TiPBx']
69,6,['NaDFOB']
34,8,['DCLBSB']
83,5,['DPD-CN']
7,5,['TRIFM']
119,1,['ABA#1']
43,2,['BF3-THF']
70,7,['LBDOB']
101,6,['LiMOB']
121,7,['LiB5AB']
8,7,['LBBPB']
13,1,['(C3HF6O)2B(C6H5)']
93,1,['TTFEB']
3,8,['PFPBO']
17,1,['THFBuBO']
38,9,['FBA']
72,2,['TAB']
98,5,['DPD-CHO']
6,5,['TBDB']
81,1,['(C6F12)O2B(C6H3F2)']
108,1,['TTFB']
100,9,['PBA']
54,8,['PFPTFBB']
50,9,['(C6H3F)O2B(C7H4F3)']
84,9,['LiBPh4']
46,1,['TFEB']
85,7,['3-MLBSB']
61,6,['LDFOB']
122,8,['LiBCl2SB']
79,3,['TMB']
111,5,['PCN']
41,3,['Li3BO3']
58,3,['TEB']
90,1,['THFB']
48,2,['BPC']
88,9,['(C6F4)O2B(C6H4F)']
107,7,['LiBSB']
57,3,['LiBO2']
75,8,['TPF']
32,5,['DPD']
118,1,['(C6F12)O2B(C6H5)']
59,4,['DiOB-Py']
63,1,['B(HFIP)3']
105,6,['LOCB']
37,6,['LiPAAOB']
29,2,['LBC']
112,6,['LiDFOB']
1,2,['TCEB']
52,6,['LBDCB']
21,3,['Li2TB']
2,3,['TMBx']
23,7,['LiBFSB']
103,5,['VPBF']
99,1,['TMF']
87,9,['NaTFPB']
114,2,['TBB']
74,4,['3F-PBF']
86,5,['PBF']
82,9,['(C6F4)O2B(C7H3F6)']
125,1,['THB']
20,2,['L-LiMCFB']
60,9,['(C6F4)O2B(C8H3F6)']
71,5,['MDMB']
106,3,['DEBA']
