molecule_id,prototypes,molecule_name
109,1,['4FLBDOB']
115,1,['LiBClSB']
34,1,['DCLBSB']
3,1,['PFPBO']
54,1,['PFPTFBB']
122,1,['LiBCl2SB']
75,1,['TPF']
51,1,['LiBBrSB']
115000,1,[]
34000,1,[]
3000,1,[]
54000,1,[]
122000,1,[]
75000,1,[]
51000,1,[]
109001,1,[]
115001,1,[]
34001,1,[]
3001,1,[]
54001,1,[]
122001,1,[]
75001,1,[]
51001,1,[]
109010,1,[]
115010,1,[]
34010,1,[]
54010,1,[]
122010,1,[]
75010,1,[]
51010,1,[]
115011,1,[]
34011,1,[]
3011,1,[]
54011,1,[]
122011,1,[]
75011,1,[]
51011,1,[]
115100,1,[]
34100,1,[]
54100,1,[]
122100,1,[]
75100,1,[]
51100,1,[]
94,1,['TCLBSB']
77,1,['TFPB']
45,1,['TFPBO']
56,1,['TPFPB']
94000,1,[]
77000,1,[]
45000,1,[]
56000,1,[]
94001,1,[]
77001,1,[]
45001,1,[]
56001,1,[]
94010,1,[]
77010,1,[]
45010,1,[]
56010,1,[]
94011,1,[]
77011,1,[]
45011,1,[]
56011,1,[]
94100,1,[]
77100,1,[]
45100,1,[]
56100,1,[]
15,2,['(C6H3F)O2B(C6H3F2)']
62,2,['LiBMSB']
9,2,['TPhBX']
113,2,['(C6F4)O2B(C6H3F2)']
28,2,['LBNB']
89,2,['Li[BScB]']
5,2,['(C6H3F)O2B(C8H3F6)']
70,2,['LBDOB']
8,2,['LBBPB']
50,2,['(C6H3F)O2B(C7H4F3)']
84,2,['LiBPh4']
85,2,['3-MLBSB']
88,2,['(C6F4)O2B(C6H4F)']
107,2,['LiBSB']
82,2,['(C6F4)O2B(C7H3F6)']
60,2,['(C6F4)O2B(C8H3F6)']
15000,2,[]
9000,2,[]
113000,2,[]
28000,2,[]
89000,2,[]
5000,2,[]
70000,2,[]
8000,2,[]
50000,2,[]
84000,2,[]
85000,2,[]
88000,2,[]
107000,2,[]
82000,2,[]
60000,2,[]
15001,2,[]
62001,2,[]
9001,2,[]
113001,2,[]
28001,2,[]
89001,2,[]
5001,2,[]
70001,2,[]
8001,2,[]
50001,2,[]
84001,2,[]
85001,2,[]
88001,2,[]
107001,2,[]
82001,2,[]
60001,2,[]
15010,2,[]
62010,2,[]
9010,2,[]
113010,2,[]
28010,2,[]
89010,2,[]
5010,2,[]
70010,2,[]
8010,2,[]
98010,2,[]
50010,2,[]
84010,2,[]
85010,2,[]
88010,2,[]
107010,2,[]
86010,2,[]
82010,2,[]
60010,2,[]
15011,2,[]
9011,2,[]
113011,2,[]
28011,2,[]
89011,2,[]
5011,2,[]
70011,2,[]
8011,2,[]
50011,2,[]
84011,2,[]
85011,2,[]
88011,2,[]
107011,2,[]
82011,2,[]
60011,2,[]
15100,2,[]
62100,2,[]
9100,2,[]
113100,2,[]
28100,2,[]
89100,2,[]
5100,2,[]
49100,2,[]
70100,2,[]
8100,2,[]
50100,2,[]
84100,2,[]
85100,2,[]
88100,2,[]
107100,2,[]
23100,2,[]
82100,2,[]
60100,2,[]
97,2,['B(OPh)3']
18,2,['LBSB']
55,2,['(C6F4)O2B(C6F5)']
76,2,['LBBB']
97000,2,[]
18000,2,[]
55000,2,[]
76000,2,[]
97001,2,[]
18001,2,[]
55001,2,[]
76001,2,[]
97010,2,[]
18010,2,[]
55010,2,[]
76010,2,[]
97011,2,[]
18011,2,[]
55011,2,[]
76011,2,[]
97100,2,[]
18100,2,[]
55100,2,[]
76100,2,[]
68,3,['Na[B(hfip)4]']
123,3,['THFPB']
25,3,['(C3HF6O)2B(C6F5)']
119,3,['ABA#1']
13,3,['(C3HF6O)2B(C6H5)']
93,3,['TTFEB']
17,3,['THFBuBO']
81,3,['(C6F12)O2B(C6H3F2)']
108,3,['TTFB']
46,3,['TFEB']
90,3,['THFB']
118,3,['(C6F12)O2B(C6H5)']
63,3,['B(HFIP)3']
99,3,['TMF']
125,3,['THB']
68000,3,[]
123000,3,[]
42000,3,[]
25000,3,[]
119000,3,[]
13000,3,[]
93000,3,[]
17000,3,[]
81000,3,[]
108000,3,[]
46000,3,[]
90000,3,[]
118000,3,[]
63000,3,[]
99000,3,[]
125000,3,[]
68001,3,[]
123001,3,[]
25001,3,[]
119001,3,[]
13001,3,[]
93001,3,[]
17001,3,[]
81001,3,[]
108001,3,[]
46001,3,[]
90001,3,[]
63001,3,[]
99001,3,[]
125001,3,[]
68010,3,[]
123010,3,[]
25010,3,[]
119010,3,[]
13010,3,[]
93010,3,[]
17010,3,[]
81010,3,[]
46010,3,[]
90010,3,[]
118010,3,[]
63010,3,[]
99010,3,[]
125010,3,[]
68011,3,[]
123011,3,[]
25011,3,[]
119011,3,[]
13011,3,[]
93011,3,[]
17011,3,[]
108011,3,[]
46011,3,[]
90011,3,[]
118011,3,[]
63011,3,[]
99011,3,[]
125011,3,[]
68100,3,[]
123100,3,[]
42100,3,[]
25100,3,[]
119100,3,[]
13100,3,[]
93100,3,[]
17100,3,[]
81100,3,[]
108100,3,[]
46100,3,[]
90100,3,[]
118100,3,[]
63100,3,[]
99100,3,[]
125100,3,[]
31,3,['(C3HF6O)2B(C6H3F2)']
53,3,['(C6F12)O2B(C6F5)']
31000,3,[]
53000,3,[]
31001,3,[]
53001,3,[]
31010,3,[]
53010,3,[]
31011,3,[]
53011,3,[]
31100,3,[]
53100,3,[]
110,4,['LiBF4']
30,4,['ADM']
69,4,['NaDFOB']
101,4,['LiMOB']
61,4,['LDFOB']
105,4,['LOCB']
37,4,['LiPAAOB']
112,4,['LiDFOB']
52,4,['LBDCB']
102,4,['LiBMAB']
110000,4,[]
30000,4,[]
69000,4,[]
101000,4,[]
61000,4,[]
105000,4,[]
37000,4,[]
112000,4,[]
52000,4,[]
102000,4,[]
110001,4,[]
30001,4,[]
69001,4,[]
101001,4,[]
61001,4,[]
105001,4,[]
37001,4,[]
112001,4,[]
52001,4,[]
102001,4,[]
110010,4,[]
30010,4,[]
49010,4,[]
69010,4,[]
101010,4,[]
61010,4,[]
105010,4,[]
37010,4,[]
112010,4,[]
52010,4,[]
102010,4,[]
110011,4,[]
30011,4,[]
69011,4,[]
101011,4,[]
61011,4,[]
105011,4,[]
37011,4,[]
112011,4,[]
52011,4,[]
102011,4,[]
110100,4,[]
30100,4,[]
69100,4,[]
101100,4,[]
61100,4,[]
105100,4,[]
37100,4,[]
112100,4,[]
102100,4,[]
73,4,['LiBOB']
67,4,['LBCB']
4,4,['LiPVAOB']
36,4,['LiODFB']
73000,4,[]
4000,4,[]
36000,4,[]
73001,4,[]
67001,4,[]
4001,4,[]
36001,4,[]
73010,4,[]
4010,4,[]
36010,4,[]
73011,4,[]
4011,4,[]
36011,4,[]
73100,4,[]
4100,4,[]
36100,4,[]
124,5,['2F-PBF']
96,5,['K2B4O5(OH)4']
65,5,['TMSPB']
33,5,['PRZ']
35,5,['H3BO3']
7,5,['TRIFM']
121,5,['LiB5AB']
111,5,['PCN']
41,5,['Li3BO3']
58,5,['TEB']
57,5,['LiBO2']
21,5,['Li2TB']
103,5,['VPBF']
74,5,['3F-PBF']
86,5,['PBF']
71,5,['MDMB']
106,5,['DEBA']
124000,5,[]
65000,5,[]
33000,5,[]
35000,5,[]
7000,5,[]
121000,5,[]
100000,5,[]
111000,5,[]
41000,5,[]
58000,5,[]
57000,5,[]
21000,5,[]
103000,5,[]
74000,5,[]
