UMAP1,UMAP2,ID
-5.6118608,12.590034,68
-7.7552,4.8338366,12
-7.2731476,2.5110192,110
-6.539101,0.57935566,124
-7.59383,5.6548753,27
-7.7296395,4.863835,24
-7.385868,2.6757858,47
-6.8063207,-0.59528947,109
-5.6168823,12.5844965,123
-6.7042603,0.09590265,15
-6.458709,0.7817195,96
-7.5975165,5.6609015,22
-5.433639,12.815573,42
-6.761265,-0.02582285,62
-7.021054,-0.89941645,115
-7.2669935,2.506642,30
-6.561375,0.5241334,65
-7.6595554,4.9662647,95
-6.626554,0.21939097,9
-6.418963,0.79969037,33
-7.5989246,5.6700497,64
-5.526152,12.706863,25
-6.6918044,0.115067124,113
-6.6937966,0.10591695,28
-7.5994434,5.655124,80
-6.7702627,-0.02061193,89
-6.670198,0.18536444,5
-7.6537046,4.9954257,66
-7.3858137,2.675672,120
-7.608785,5.523727,39
-6.781105,-0.22341816,49
-6.4055495,0.9060486,35
-7.5930853,5.659775,16
-7.2689266,2.5054264,69
-7.02829,-0.92249215,34
-7.755838,4.8325996,83
-6.5484886,0.55953896,7
-5.6174207,12.584094,119
-7.6864696,4.9322834,43
-6.6935253,0.10123249,70
-7.2720513,2.509151,101
-6.543517,0.5698989,121
-6.6942625,0.10231852,8
-5.526713,12.706503,13
-5.660108,12.540358,93
-6.8045497,-0.5929027,3
-5.483211,12.753765,17
-6.5822783,0.46820682,38
-7.613025,5.6642227,72
-7.757007,4.8308816,98
-7.6612825,4.963666,6
-5.420707,12.828643,81
-5.6602025,12.540282,108
-6.6306357,0.27869877,100
-7.0556617,-0.9685194,54
-6.698881,0.11864421,50
-6.6270013,0.2176141,84
-5.660431,12.540166,46
-6.764196,-0.022173936,85
-7.268311,2.5046332,61
-7.035619,-0.9360658,122
-7.5906076,5.661059,79
-6.51349,0.645153,111
-6.410819,0.8961034,41
-6.4163175,0.88192797,58
-5.619387,12.582087,90
-7.621197,5.6732993,48
-6.682983,0.12881687,88
-6.787793,-0.045337807,107
-6.416308,0.8816955,57
-7.0624356,-0.9783209,75
-7.7555885,4.832847,32
-5.430506,12.819004,118
-7.7350507,4.856127,59
-5.617074,12.584564,63
-7.273921,2.5119667,105
-7.2877293,2.5300927,37
-7.6213655,5.673168,29
-7.2681975,2.504338,112
-7.602766,5.667661,1
-6.7824483,-0.23426896,52
-6.4465313,0.8441971,21
-7.5912585,5.6607227,2
-6.761914,-0.029556531,23
-6.500939,0.6382449,103
-5.4937944,12.738838,99
-6.61979,0.3601525,87
-7.59863,5.6770473,114
-6.537531,0.58016056,74
-6.540787,0.57489204,86
-6.679009,0.15645914,82
-5.617026,12.584641,125
-7.6153107,5.667881,20
-6.6690474,0.18775043,60
-6.4989576,0.7215956,71
-6.5089216,0.8077084,106
-7.7546597,4.834359,14
-7.7554107,4.8332486,92
-7.0279846,-0.91991365,51
-7.282726,2.5236785,102
-5.6123066,12.58978,68000
-7.737256,4.8502026,12000
-7.2717633,2.5096366,110000
-6.536879,0.58267623,124000
-7.595411,5.6557155,27000
-7.7199726,4.8786035,24000
-7.5971217,5.6522136,47000
-6.806388,-0.59524894,109000
-5.6217184,12.579858,123000
-6.710383,0.08794004,15000
-6.4614305,0.7743372,96000
-7.598385,5.660503,22000
-5.434191,12.814872,42000
-6.765167,-0.0116887,62000
-7.0192676,-0.89549184,115000
-7.2729096,2.5137877,30000
-6.4873157,0.67537606,65000
-7.6590543,4.9678764,95000
-6.6295514,0.25058743,9000
-6.4143333,0.8052272,33000
-7.5997624,5.666289,64000
-5.5269413,12.705458,25000
-6.681469,0.13203993,113000
-6.680115,0.13397975,28000
-7.597389,5.65717,80000
-6.7714467,-0.020824121,89000
-6.6637936,0.20324984,5000
-7.655056,4.991745,66000
-7.3856225,2.675492,120000
-7.6103935,5.5044184,39000
-6.7817683,-0.22791632,49000
-6.4072247,0.9028673,35000
-7.5928364,5.6612244,16000
-7.2897983,2.53233,69000
-7.051999,-0.9625837,34000
-7.7814207,4.8066955,83000
-6.542899,0.5755821,7000
-5.6261477,12.575559,119000
-7.681406,4.9387984,43000
-6.693742,0.101401106,70000
-7.267506,2.500168,101000
-6.550006,0.5552006,121000
-6.6935186,0.107095905,8000
-5.5260983,12.707302,13000
-5.654722,12.546806,93000
-6.8040934,-0.5920288,3000
-5.4852366,12.751161,17000
-6.5622272,0.5255975,38000
-7.586822,5.647839,72000
-7.7575774,4.830657,98000
-7.6613216,4.963967,6000
-5.4317336,12.817732,81000
-5.6517754,12.550256,108000
-6.6221056,0.31038204,100000
-7.055065,-0.9675287,54000
-6.7263346,0.063830726,50000
-6.627335,0.2169361,84000
-5.650778,12.551271,46000
-6.7697487,-0.025527693,85000
-7.27673,2.5154574,61000
-7.0455914,-0.95483005,122000
-7.591609,5.660498,79000
-6.4962244,0.67647254,111000
-6.461423,0.7751953,41000
-6.461314,0.77326924,58000
-5.61257,12.589419,90000
-7.6173887,5.6713963,48000
-6.682718,0.12946267,88000
-6.769043,-0.018149221,107000
-6.4156084,0.88554066,57000
-7.0526247,-0.9643549,75000
-7.7577715,4.829641,32000
-5.430836,12.818893,118000
-7.744791,4.845727,59000
-5.614865,12.586935,63000
-7.273686,2.511825,105000
-7.2924356,2.535707,37000
-7.620248,5.672137,29000
-7.2711306,2.5092785,112000
-7.6080904,5.6690784,1000
-6.7824473,-0.2334756,52000
-6.454709,0.8437886,21000
-7.591336,5.6610885,2000
-6.7575755,-0.02138146,23000
-6.568735,0.5045221,103000
-5.491845,12.741659,99000
-6.6226683,0.34973812,87000
-7.599727,5.6759505,114000
-6.5476446,0.55620176,74000
-6.506073,0.65342957,86000
-6.6619053,0.19453083,82000
-5.638631,12.563636,125000
-7.6177287,5.672583,20000
-6.6659284,0.19667919,60000
-6.4992743,0.7727434,71000
-6.508361,0.8090595,106000
-7.7578297,4.8310375,14000
-7.755505,4.8334384,92000
-7.040847,-0.94634926,51000
-7.2814374,2.522099,102000
-5.6150036,12.58696,68001
-7.7542653,4.835071,12001
-7.273463,2.5111678,110001
-6.535737,0.5852049,124001
-7.594219,5.6566334,27001
-7.730236,4.8637986,24001
-7.382575,2.669202,47001
-6.8062363,-0.59737396,109001
-5.605452,12.598859,123001
-6.703947,0.10000996,15001
-6.459175,0.78055656,96001
-7.5983367,5.6612654,22001
-5.433056,12.816366,42001
-6.7609496,-0.027385753,62001
-7.0199294,-0.8948321,115001
-7.2682567,2.508451,30001
-6.56749,0.50917035,65001
-7.6601863,4.9663644,95001
-6.619269,0.23049809,9001
-6.3961463,0.8329793,33001
-7.6007004,5.671296,64001
-5.525738,12.707909,25001
-6.6850796,0.12632431,113001
-6.6949925,0.103474855,28001
-7.6015725,5.657287,80001
-6.797239,-0.04837163,89001
-6.6751037,0.173822,5001
-7.6541667,4.995729,66001
-7.3822317,2.6685565,120001
-7.60878,5.525685,39001
-6.7812715,-0.22349073,49001
-6.4056964,0.90627426,35001
-7.5941815,5.6591773,16001
-7.268783,2.5050714,69001
-7.02971,-0.92415005,34001
-7.7605033,4.8234415,83001
-6.550398,0.55499554,7001
-5.6148977,12.587397,119001
-7.6863313,4.932953,43001
-6.693682,0.10137196,70001
-7.273208,2.5104694,101001
-6.5497594,0.5567724,121001
-6.6958222,0.10225568,8001
-5.5269938,12.706263,13001
-5.6718264,12.528241,93001
-6.804586,-0.5929106,3001
-5.485897,12.7502365,17001
-6.5789914,0.47775167,38001
-7.6117425,5.661553,72001
-7.758257,4.8298526,98001
-7.661729,4.9643445,6001
-5.42964,12.820446,81001
-5.6560063,12.545576,108001
-6.6330843,0.2578784,100001
-7.0527983,-0.9640806,54001
-6.689945,0.1386948,50001
-6.6271405,0.21802165,84001
-5.6584163,12.542588,46001
-6.767259,-0.028463792,85001
-7.270258,2.5078914,61001
-7.0409513,-0.94565725,122001
-7.59153,5.6607842,79001
-6.4983497,0.69453037,111001
-6.4176035,0.877927,41001
-6.4149356,0.8863378,58001
-5.6176987,12.584084,90001
-7.6203213,5.672133,48001
-6.681764,0.13150275,88001
-6.773026,-0.024192527,107001
-6.4145865,0.8878971,57001
-7.061951,-0.97753984,75001
-7.75643,4.8318253,32001
-5.4301906,12.819669,118001
-7.7363625,4.854795,59001
-5.62437,12.577585,63001
-7.273707,2.5114238,105001
-7.2884007,2.5303328,37001
-7.6211157,5.672803,29001
-7.269295,2.5057712,112001
-7.6049094,5.6713753,1001
-6.7826304,-0.23441519,52001
-6.4430714,0.8394949,21001
-7.5913444,5.660394,2001
-6.7620907,-0.02669177,23001
-6.5196834,0.6237357,103001
-5.492214,12.741052,99001
-6.62364,0.34820428,87001
-7.5964813,5.689507,114001
-6.5352535,0.58562434,74001
-6.5466566,0.56119287,86001
-6.6797805,0.15433443,82001
-5.596483,12.609573,125001
-7.616106,5.667598,20001
-6.6682596,0.19048196,60001
-6.4941897,0.73922276,71001
-6.505903,0.80855924,106001
-7.7610188,4.827065,14001
-7.7554183,4.8334517,92001
-7.0305185,-0.9245567,51001
-7.284396,2.5251844,102001
-5.6234016,12.57851,68010
-7.754314,4.8349166,12010
-7.276882,2.51538,110010
-6.541535,0.5727257,124010
-7.594769,5.6567397,27010
-7.7207313,4.896813,24010
-7.388148,2.6840134,47010
-6.8054414,-0.5835043,109010
-5.617422,12.584576,123010
-6.674561,0.16529173,15010
-6.4590707,0.78089285,96010
-7.592161,5.6598105,22010
-5.4360414,12.812777,42010
-6.761363,-0.024824172,62010
-7.0149403,-0.8779744,115010
-7.2688284,2.5084248,30010
-6.536961,0.5835274,65010
-7.6581883,4.9714355,95010
-6.624551,0.22212891,9010
-6.479736,0.7268185,33010
-7.603781,5.6628723,64010
-5.5269322,12.705493,25010
-6.704549,0.099276476,113010
-6.6701655,0.14663935,28010
-7.5982623,5.6457534,80010
-6.778787,-0.20543279,89010
-6.669773,0.18956032,5010
-7.654308,4.9963555,66010
-7.378552,2.6620357,120010
-7.605119,5.5823812,39010
-6.7815733,-0.22561376,49010
-6.412238,0.8939033,35010
-7.593224,5.6562233,16010
-7.277538,2.5161304,69010
-7.0253325,-0.9175669,34010
-7.7531614,4.8358736,83010
-6.5423956,0.5739765,7010
-5.6333504,12.568245,119010
-7.698852,4.9109974,43010
-6.767736,-0.012472466,70010
-7.274218,2.5120802,101010
-6.549018,0.5597196,121010
-6.679821,0.13588728,8010
-5.5274787,12.704551,13010
-5.6239767,12.584897,93010
-6.7999244,-0.58561987,3010
-5.4777875,12.76103,17010
-6.652569,0.21977136,38010
-7.599259,5.6540117,72010
-7.7534747,4.8357153,98010
-7.6720066,4.951065,6010
-5.5264406,12.7059355,81010
-5.6477456,12.55537,108010
-6.579195,0.47259673,100010
-7.05803,-0.97214794,54010
-6.764248,-0.005811005,50010
-6.6288176,0.22859338,84010
-5.647679,12.5555725,46010
-6.755436,-0.0195249,85010
-7.27876,2.5178883,61010
-7.03827,-0.94157594,122010
-7.5917606,5.6631293,79010
-6.49467,0.68164206,111010
-6.456315,0.78675836,41010
-6.4554343,0.7903562,58010
-5.6255918,12.576297,90010
-7.616105,5.6669564,48010
-6.647029,0.17213422,88010
-6.7656436,-0.019817585,107010
-6.3734627,0.93871915,57010
-7.0576134,-0.9716594,75010
-7.7544236,4.834656,32010
-5.4326987,12.816853,118010
-7.7368193,4.859443,59010
-5.634886,12.567288,63010
-7.2727423,2.5102386,105010
-7.300344,2.546528,37010
-7.612934,5.6623025,29010
-7.272731,2.5106826,112010
-7.596086,5.6526666,1010
-6.7827187,-0.23498972,52010
-6.4523315,0.81265855,21010
-7.59251,5.657386,2010
