cid,formula,SMILES,fingerprint,topological,weight,heavy_atom,label
11090867.0,C17H14BClFNO7,B(OC(=O)C)(OC(=O)C)OC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)Cl)C3CC3,00000371C27A3900040000000000000000001800000000000000304000000000000000810000081F02000000000C2EC1982C32C8830000008802A4D648008200002507000088010866C808243EC9969184218864A000C8C9C798D9A39E04000000020200000800000004040000000000000000,99.2,409.0535878,28.0,1
15877487.0,C9H13BO3,B(C1=CC=CC=C1OC)(OC)OC,00000371C2703000000000000000000000000000000000000000300000000000000000010000281A000000000008048090023206800004008000204200000208002020000888000608880C262284311A80302024C01108A8078040000000000000000000000000000000000000000000000000,27.7,180.0957744,13.0,1
57041839.0,C14H25BO2Si2,B(C1=CC(=CC=C1)C=C)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C000000000000000000000000000000000000300000000000000000010000281810000040000C008018007200800000018002204200000200002000000888000000880820228011108020002080000888070080000E00000000000000000000000000000000000000000000,18.5,292.1486133,19.0,1
71390453.0,C14H25BO2Si2,B(C1=CC=CC=C1C=C)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C000000000000000000000000000000000000300000000000000000010000281810000040000C008018007200800000018002204200000200002000000888000000880820228011108020002080000888070080000E00000000000000000000000000000000000000000000,18.5,292.1486133,19.0,1
78020.0,C9H27BO3Si3,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C0000000000000000000000000000000000000000000000000000000000000810100000400000000000004200000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27.7,278.1361045,16.0,1
425307.0,C6H9BO6,B(OC(=O)C)(OC(=O)C)OC(=O)C,00000371C2603800000000000000000000000000000000000000000000000000000000000000081A000000000000008080000208000000000800009008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,78.9,188.0492182,13.0,1
12418354.0,C12H23BO2Si2,B(C1=CC=CC=C1)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C0000000000000000000000000000000000003000000000000000000100002818100000400008008010007200800000018000204200000200002000000888000000880820228011108020002080000888070000000000000000000000000000000000000000000000000000,18.5,266.1329632,17.0,1
22338812.0,C13H13BF2O3,B(OC1=C(CCC2=C1C=CC(=C2)OC)C(=O)C)(F)F,00000371C27031800000000000000000000000000000000000003040000000000000008100000C1A00000000000C048098023206800004008802A05200000208002020000888010608C80C263284311A80302024C01108A90788E8FC8EA0000100001000004000020000200000000000000000,35.5,266.0925808,19.0,1
56973279.0,C11H10BBrClNO4,B1(OC(=O)CN(CC(=O)O1)C)C2=CC(=CC(=C2)Br)Cl,00000371C2723800041000000000000000000000000000000000300000000000160000010000281E0240000001A802C19024320883000000880020D208000200002005040088008802A80A2022811330802000208000988A170000000000000000004000000000000000800000000000000000,55.8,344.95748,19.0,1
517955.0,C4H11B,B(C)(C)CC,,0.0,69.94,5.0,1
138247.0,C3H9BO,B(C)(C)OC,,0.0,71.92,5.0,1
13301362.0,C11H15BO4,B(C1=CC2=C(C=C1)OCO2)(OCC)OCC,,0.0,222.05,16.0,1
13789232.0,C6H4B2Cl4,B(C1=CC=CC=C1B(Cl)Cl)(Cl)Cl,,0.0,239.5,12.0,1
68979.0,C3H9B,B(C)(C)C,,0.0,55.92,4.0,1
25068199.0,C18H17BFNO8,B(OC(=O)C)(OC(=O)C)OC(=O)C1=CN(C2=C(C1=O)C=CC(=C2OC)F)C3CC3,,0.0,405.1,29.0,1
66709077.0,C8H15BN2O2,B(C1=CN(N=C1)C)(OCC)OCC,00000371C2733000000000000000000000000000000160000000000000000000000000018000281E00080000000800E192062E8092080000A200106744009004001180001050202844100000804041400484080008004000000000000000000000000000000000000000000000000000000000,36.3,182.1226579,13.0,2
15158954.0,C8H13BN2,B(CC)(CC)C1=CN=CN=C1,,0.0,148.02,11.0,2
11522786.0,C16H13BCl2N2O,B(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)OCC3=CN=CN3,,0.0,331.0,22.0,2
22663171.0,C10H16BNS,B(CC)(CC)C1=CC(=CN=C1)SC,,0.0,193.12,13.0,2
25112575.0,C40H33BO2,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C4=CC=CC=C4C(=C3C=C2)C5=CC6=CC=CC=C6C=C5)C7=CC8=CC=CC=C8C=C7,00000371F27C30000000000000000000000000000001200000003060C1830000000000C15400281A00000000000C448098003200C00000008002204200000200002000000888000000880920228011108020002080000888070080C00EC0000200001000008000040000200000000000000000,18.5,556.2573605,43.0,3
58050304.0,C30H27BO2,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CC=CC3=C(C4=CC=CC=C24)C5=CC=CC6=CC=CC=C65,00000371E27830000000000000000000000000000001200000003060C1830000000000C15400281A00000000000C448098003200C00000008002204200000200002000000888000000880920228011108020002080000888070080C00EC0000200001000008000040000200000000000000000,18.5,430.2104103,33.0,3
58489416.0,C30H27BO2,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)C3=CC4=C(C=C3)C5=CC=CC=C5C6=CC=CC=C64,00000371E27830000000000000000000000000000001200000003060C1830000000000C15400281A00000000000C448098003200C00000008002204200000200002000000888000000880920228011108020002080000888070080C00EC0000200001000008000040000200000000000000000,18.5,430.2104103,33.0,3
23115783.0,C38H35B,B(C1=C(C=C(C=C1C)C)C)(C2=C(C=C(C=C2C)C)C)C3=C4C=CC=CC4=C(C5=CC=CC=C35)C6=CC=CC=C6,,0.0,502.5,39.0,3
58769449.0,C24H23BO2,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)C4=CC=CC=C4C5=CC=CC=C53,,0.0,354.3,27.0,3
21425.0,C54H111BO3,B(OCCCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC,00000371F27C3000000000000000000000000000000000000000000000000000000000000000081A00000000000800A0800202000000000000000000000000000000000000000000000000000200000000000004000000000180C0A00000000000000000000000000000000000000000000000,27.7,818.8626276,58.0,5
122587.0,C15H33B,B(C(C)C(C)C)(C(C)C(C)C)C(C)C(C)C,,0.0,224.2,16.0,5
13680388.0,C16H35B,B(CCCCCC)(C(C)C(C)C)C(C)C(C)C,,0.0,238.3,17.0,5
71384846.0,C24H51B,B(C(C)CCCCCC)(C(C)CCCCCC)C(C)CCCCCC,,0.0,350.5,25.0,5
71384845.0,C24H51B,B(C(CC)CCCCC)(C(CC)CCCCC)C(CC)CCCCC,,0.0,350.5,25.0,5
71334465.0,C39H81B,B(CCCCCCCCCCC(C)C)(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,,0.0,560.9,40.0,5
71386315.0,C32H65B,B(CCCCCCCC)(CCCCCCCC)C(=CCCCCCC)CCCCCCCC,,0.0,460.7,33.0,5
71352225.0,C33H69B,B(CCCCCCCCCCC)(CCCCCCCCCCC)CCCCCCCCCCC,,0.0,476.7,34.0,5
352104.0,C36H75B,B(CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC,,0.0,518.799,37.0,5
71346374.0,C12H28BN2,[B](N(C(C)C)C(C)C)N(C(C)C)C(C)C,,0.0,211.18,15.0,5
17177.0,C24H51BO3,B(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC,,0.0,398.5,28.0,5
