cid,formula,SMILES,fingerprint,topological,weight,heavy_atom,label
45785794.0,C12H20BNO3S,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(S2)OC(C)C,00000371E2723000400000000000000000000000000162400000000000000000000000018000281E04000000000C54E1C2062E8112081408A4001027440000F0A051083840400C0800000100000000000800000000000000000000000880000000000000000000000000000000000000000000,68.8,269.1256948,18.0,1
45786085.0,C9H14BNO3S,B1(OC(C(O1)(C)C)(C)C)C2=CSC(=O)N2,00000371C2723000400000000000000000000000000122000000000000000000000000000000281E04100000000C4485C000820002C000088800000250000000004002000000000000000100000000000000000000000000000000000880000000000000000000000000000000000000000000,72.9,227.0787446,15.0,1
45786504.0,C14H17BN2O2S,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(S2)C3=CC=CC=N3,00000371E27330004000000000000000000000000001624000002C000000000000000001E000281E04000000000C4CC1D6043E8192081008A4013467440082F0A0710A3848D82C3864980960E2E09191942008608000E8C8071000000880000000000000000000000000000000000000000000,72.5,288.1103791,20.0,1
4618631.0,C26H22BNO2S,[B-]1(OC(=C(C(=[O+]1)C)C2=NC(=CS2)C3=CC=CC=C3)C)(C4=CC=CC=C4)C5=CC=CC=C5,00000371E27A30004000000000000000000000000001600000003060C100000000000001D400281E04000000000C0C85DE00B28192081008AC03A472440082F0A0612A380888353024D80820AAA09111842008608000A889071080800E00000000000000000000000000000000000000000000,51.4,423.1464303,31.0,1
45786509.0,C15H17BFNO2S,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(S2)C3=CC=CC=C3F,00000371E272310040000000000000000000000000016240000030000000000000000001C000281F04000000000C44C1DA0C3E8192081008A4023067440082F0A071083848C82C2804980920A2A09111842008608000A888071080000E80000000000000000000000000000000000000000000,59.6,305.1057083,21.0,1
45786507.0,C14H17BN2O2S,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(S2)C3=CC=NC=C3,00000371E27330004000000000000000000000000001624000002C000000000000000001E000281E04000000000C44C1DA043E8192081008A4023067440082F0A0710A3848D82C3864980920E2E09191842008608000E8C8061000000A80000000000000000000000000000000000000000000,72.5,288.1103791,20.0,1
45786508.0,C15H22BNO2S,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(S2)C3=CCCCC3,00000371E2723000400000000000000000000000000162400000200000000000000000018000281E04000000000C44C1C2042E8112081008A4023067440080F0A071083840480C280018010002208100040000008000A800031080000880000000000000000000000000000000000000000000,59.6,291.1464303,20.0,1
45786512.0,C19H26BNO2S,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(S2)C3=CC=C(C=C3)C(C)(C)C,00000371E27A300040000000000000000000000000016240000030000000000000000001C000281E04000000000E44C1DA043E8192081008A4023067440082F0A071083848C82C2804980920A2A09111842008608000A888071080C00FC0000000000000008000000000000000000000000000,59.6,343.1777304,24.0,1
59560535.0,C13H24BNO2S,B(C1=CSC(=C1)CN(C)C)(OC(C)C)OC(C)C,00000371E2723000400000000000000000000000000120000000000000000000000000018000281E04000000000814E5D006B20183000008840020420000830080200810408818080488082022A091118400086080002888061000000000000000000000000000000000000000000000000000,49.9,269.1620803,18.0,1
45786132.0,C16H20BNO2S,[2H]C([2H])([2H])C1=CC(=CC=C1)C2=NC(=CS2)B3OC(C(O3)(C)C)(C)C,00000371E27A300040000000000000000000000000016240000030000000000000000001C000281E04000000000C4485DA00B28192081008A4022062440082F0A0610A380888243024980920A2A09111842008608000A888071080400E80000200000000000000040000000000000000000000,59.6,304.1496105,21.0,1
45786164.0,C16H20BN3O2S,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC(=N2)C3CC3)C4=CSC=N4,00000371E27B30004000000000000000000018000001624000002C000000000000000001E000281E04000000000D4C85D704B79196081008A4012663640082F0A9710AB801D8343864988968A2E0D8C1942408688002C8C8261000000880000000000000000000000000000000000000000000,85.4,329.1369282,23.0,1
45786420.0,C14H17BN2O2S,B1(OC(C(O1)(C)C)(C)C)C2=CSC(=N2)C3=CC=NC=C3,00000371E27330004000000000000000000000000001624000002C000000000000000001E000281E04000000000C44C5DA04BE8192081008A4023067440082F0A0710A3808D8243864980920E2E09191842008608000E8C8061000000A80000000000000000000000000000000000000000000,72.5,288.1103791,20.0,1
45786484.0,C14H17BN2O2S,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)C3=CN=CS3,00000371E27330004000000000000000000000000001624000002C000000000000000001E000281E04000000000C4CC1D604BE8192081008A4013467440082F0A0710A3848D82C3864980920E2E0D191842008608000C8C8071080000880000000000000000000000000000000000000000000,72.5,288.1103791,20.0,1
45786419.0,C14H17BN2O2S,B1(OC(C(O1)(C)C)(C)C)C2=CSC(=N2)C3=CN=CC=C3,00000371E27330004000000000000000000000000001624000002C000000000000000001E000281E04000000000C44C5DA04BE8192081008A4023067440082F0A0710A3808D8243864980920E2E0D191842008608000E8C8061000000C80000000000000000000000000000000000000000000,72.5,288.1103791,20.0,1
45786483.0,C15H19BN2O2S,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)C3=CSC(=N3)C,00000371E27330004000000000000000000000000001624000002C000000000000000001E000281E04000000000C4CC5D604BE8192081008A4013467440082F0A0710A3808D8343864980960E2E09191942008608000E8C8071080000880000000000000000000000000000000000000000000,72.5,302.1260292,21.0,1
45786248.0,C14H17BN2O2S,B1(OC(C(O1)(C)C)(C)C)C2=CN=CC(=N2)C3=CSC=C3,00000371E27330004000000000000000000000000001224000002C000000000000000001E000281E04000000000C4CC5DE04BE8192081008A403346744008380A4311A3048D8383874980960E2E09101942008608000E8C8061000000A80000000000000000000000000000000000000000000,72.5,288.1103791,20.0,1
45786280.0,C14H18BN3O2S,B1(OC(C(O1)(C)C)(C)C)C2=CN=CC(=N2)C3=CSC(=N3)C,00000371E27330004000000000000000000000000001624000002C000000000000000001E000281E04000000000C4CC5D604AE8112081008A4011467440082F0A4711A3800D0343874980960C060C001140008000000E040000000000880000000000000000000000000000000000000000000,85.4,303.1212782,21.0,1
45786376.0,C17H21BO3S,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CS2)C3=CC=C(C=C3)OC,00000371E278300040000000000000000000000000012240000030000000000000000001C000281A04000000000C4484D802B207800004088402204200000308802028104888180608880D2622A4311A80302024C01128A80780C0F00EA0000000000000004000000000000000000000000000,55.9,316.1304459,22.0,1
45785775.0,C15H25BN2O2S,B1(OC(C(O1)(C)C)(C)C)C2=CSC(=N2)N3CCC(CC3)C,00000371E27330004000000000000000000000000001624000002C0000000000000000018000281E04000000000D44C5C204A39113081008A4000022640000F0A9410A380100041820008100020088000400000800028000201000000A80000000000000000000000000000000000000000000,62.8,308.1729794,21.0,1
45786511.0,C17H22BNO2S,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(S2)C3=CC=C(C=C3)CC,00000371E27A300040000000000000000000000000016240000030000000000000000001C000281E04000000000C44C1DA043E8192081008A4023067440082F0A071083848C82C2804980920A2A09111842008608000A888071080C00EC0000000000000008000000000000000000000000000,59.6,315.1464303,22.0,1
66520884.0,C11H18BBrN2O2S,B1(OC(C(O1)(C)C)(C)C)C2=C(SC(=N2)N(C)C)Br,00000371E2733000401000000000000000000000000162400000000000000000000000018000281E04400000012C4481C204039113081008A4000020640000F0A94108380100040800008100000000000000000800020000200000000880000000000000000000000000000000000000000000,62.8,332.03654,18.0,1
66520136.0,C17H23BN2O2S,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(S2)C3=CN=C(N=C3)C(C)C,00000371E27B30004000000000000000000000000001224000002C000000000000000001E000281E04000000000D44C1DB043F9196081008A402326764008380A93108B049D8383844988928A2E0D951842408288002E8C8271000000C80000000000000000000000000000000000000000000,72.5,330.1573293,23.0,1
66520371.0,C22H23BN2O2S,B1(OC(C(O1)(C)C)(C)C)C2=CSC(=N2)N=C(C3=CC=CC=C3)C4=CC=CC=C4,00000371E27B300040000000000000000000000000016240000030600000000000000001D000281E04000000000C4C85DA00B39192081008A4032062640002F0A9610A380888043020988920A28011108020002080020888270080C00E80000000000000000000000000000000000000000000,72.0,390.1573293,28.0,1
